"id","title","rating","text","travelDate","locationId","placeInfo/address","placeInfo/addressObj/city","placeInfo/addressObj/country","placeInfo/addressObj/postalcode","placeInfo/addressObj/state","placeInfo/addressObj/street1","placeInfo/addressObj/street2","placeInfo/id","placeInfo/latitude","placeInfo/locationString","placeInfo/longitude","placeInfo/name","placeInfo/numberOfReviews","placeInfo/rating","placeInfo/ratingHistogram/count1","placeInfo/ratingHistogram/count2","placeInfo/ratingHistogram/count3","placeInfo/ratingHistogram/count4","placeInfo/ratingHistogram/count5","placeInfo/webUrl","placeInfo/website","subratings/0/name","subratings/0/value","subratings/1/name","subratings/1/value","subratings/2/name","subratings/2/value","subratings/3/name","subratings/3/value","subratings/4/name","subratings/4/value","subratings/5/name","subratings/5/value","helpfulVotes","publishedDate","tripType"
"936655743","Ótima opção em Paris","4","O hotel está perto de uma estação de metrô, Carrefour e restaurantes. Bairro seguro. O café da manhã é bem gostoso, porém repetitivo. Há café e chocolate quente sempre que quiser. Como estamos no inverno europeu chegar e ter essa opção sem custo foi uma boa surpresa. O quarto de tamanho mediano, camas confortáveis porém não há frigobar, cofre e nem microondas.","2024-01","16711418","12 Av. Porte D'Italia, 75013 Paris France","Paris","France","75013",,"12 Av. Porte D'Italia",,"16711418","48.81747","Paris, Ile-de-France","2.359588","Ibis Styles Paris Meteor Avenue D'Italie","246","4","9","15","24","70","128","https://www.tripadvisor.com/Hotel_Review-g187147-d16711418-Reviews-Ibis_Styles_Paris_Meteor_Avenue_D_Italie-Paris_Ile_de_France.html","https://all.accor.com/hotel/B2U6/index.en.shtml",,,,,,,,,,,,,"0","2024-02-02","FAMILY"
"934897578","Très bien, bonne localisation à proximité immédiate du métro","5","Excellent accueil au check in, les chambres sont correctes et le petit déjeuner est très bien. Ce qui m'a le plus frappé c'est l'isolation phonique qui est parfaite : on entend aucun bruit de la rue ni aucun autre bruit des chambres avoisinantes. C'est tellement rare que ça doit être souligné.","2024-01","16711418","12 Av. Porte D'Italia, 75013 Paris France","Paris","France","75013",,"12 Av. Porte D'Italia",,"16711418","48.81747","Paris, Ile-de-France","2.359588","Ibis Styles Paris Meteor Avenue D'Italie","246","4","9","15","24","70","128","https://www.tripadvisor.com/Hotel_Review-g187147-d16711418-Reviews-Ibis_Styles_Paris_Meteor_Avenue_D_Italie-Paris_Ile_de_France.html","https://all.accor.com/hotel/B2U6/index.en.shtml","Value","4","Location","5","Service","5",,,,,,,"0","2024-01-21","COUPLES"
"934626675","Great service!","4","The hotel is a little far away from the major attractions in Paris, but the rooms and complimentary breakfast were very nice. Yannick was extremely helpful at the front counter! Overall a great experience for the price and I would recommend it to other travelers.","2023-09","16711418","12 Av. Porte D'Italia, 75013 Paris France","Paris","France","75013",,"12 Av. Porte D'Italia",,"16711418","48.81747","Paris, Ile-de-France","2.359588","Ibis Styles Paris Meteor Avenue D'Italie","246","4","9","15","24","70","128","https://www.tripadvisor.com/Hotel_Review-g187147-d16711418-Reviews-Ibis_Styles_Paris_Meteor_Avenue_D_Italie-Paris_Ile_de_France.html","https://all.accor.com/hotel/B2U6/index.en.shtml","Value","5","Location","3","Service","5",,,,,,,"0","2024-01-18","COUPLES"
"933811465","Miserable Stay.","1","Horrible service, lumpy bed, no room service at all, unhelpful staff. Decent restaurants nearby. Avoid if possible. Beware of trying to get a cab or Uber to airport. Allot at least two hours. Almost missed our flight because hotel’s location requires passing through HEAVY Paris traffic to airport.","2023-10","16711418","12 Av. Porte D'Italia, 75013 Paris France","Paris","France","75013",,"12 Av. Porte D'Italia",,"16711418","48.81747","Paris, Ile-de-France","2.359588","Ibis Styles Paris Meteor Avenue D'Italie","246","4","9","15","24","70","128","https://www.tripadvisor.com/Hotel_Review-g187147-d16711418-Reviews-Ibis_Styles_Paris_Meteor_Avenue_D_Italie-Paris_Ile_de_France.html","https://all.accor.com/hotel/B2U6/index.en.shtml",,,,,,,,,,,,,"0","2024-01-12","FRIENDS"
"931995053","Good hotel for tourists","4","Room was good. Stay was comfortable. Breakfast was good. We had booked quadruple room. The two beds on the sofas was not at all comfortable. Management needs to take care of this. This bed gave me back ache.
Hotel and staf were good. Location was perfect. Good for tourists.","2023-12","16711418","12 Av. Porte D'Italia, 75013 Paris France","Paris","France","75013",,"12 Av. Porte D'Italia",,"16711418","48.81747","Paris, Ile-de-France","2.359588","Ibis Styles Paris Meteor Avenue D'Italie","246","4","9","15","24","70","128","https://www.tripadvisor.com/Hotel_Review-g187147-d16711418-Reviews-Ibis_Styles_Paris_Meteor_Avenue_D_Italie-Paris_Ile_de_France.html","https://all.accor.com/hotel/B2U6/index.en.shtml","Value","4","Location","4","Service","4",,,,,,,"0","2024-01-02","FAMILY"
"919718584","Deluso","2","Sono stato ospite in un hotel Ibis già altre volte, mi sentivo di andare sul sicuro. Ma a mia sorpresa non è stato così. Appena arrivati la camera era pulita, ma del secondo giorno l'addetto alle stanze si è limitato semplicemente a rifare il letto e cambiare la biancheria. I sanitari sono stati puliti male, dei capelli che si trovavano a terra nel bagno sono rimasti lì fino al sesto giorno, ovvero quando c'è ne siamo andati. Colazione non male eccetto per la macchina delle bevande che un paio di volte l'ho trovata piena di moscerini. Stanze forse un po' troppo piccole .. c'era lo spazio per una sola valigia e noi ne avevamo tre. La posizione però è ottima. Fermata metro a 100m, linea M7 utile per arrivare praticamente ovunque. Mi aspettavo molto di più, peccato davvero per l'ibis solitamente e sinonimo di qualità.","2023-09","16711418","12 Av. Porte D'Italia, 75013 Paris France","Paris","France","75013",,"12 Av. Porte D'Italia",,"16711418","48.81747","Paris, Ile-de-France","2.359588","Ibis Styles Paris Meteor Avenue D'Italie","246","4","9","15","24","70","128","https://www.tripadvisor.com/Hotel_Review-g187147-d16711418-Reviews-Ibis_Styles_Paris_Meteor_Avenue_D_Italie-Paris_Ile_de_France.html","https://all.accor.com/hotel/B2U6/index.en.shtml","Value","2","Location","4","Service","2",,,,,,,"0","2023-10-04","COUPLES"
"915855150","UNE EXPERIENCE INOUBLIABLE ","5","L'accueil est parfait, merci aux réceptionnistes pour leur disponibilité tout le long du séjour. Un grand merci particulièrement à Helori de l'équipe réception pour son aide et son efficacité. La force de cet hôtel est le staff et l'accueil chaleureux. Localisation idéale et chambres très propres, le top! La déco est moderne, tout est propre. Bravo à toute l'équipe!!","2023-09","16711418","12 Av. Porte D'Italia, 75013 Paris France","Paris","France","75013",,"12 Av. Porte D'Italia",,"16711418","48.81747","Paris, Ile-de-France","2.359588","Ibis Styles Paris Meteor Avenue D'Italie","246","4","9","15","24","70","128","https://www.tripadvisor.com/Hotel_Review-g187147-d16711418-Reviews-Ibis_Styles_Paris_Meteor_Avenue_D_Italie-Paris_Ile_de_France.html","https://all.accor.com/hotel/B2U6/index.en.shtml","Value","5","Location","5","Service","5",,,,,,,"0","2023-09-10","FAMILY"
"914945817","Ottimo hotel vicino alla metro","5","Ho avuto la fortuna di trovare questo hotel per soggiornare qualche notte a Parigi ed è stata la migliore scelta che potessi fare; la permanenza è stata ottima grazie alla disponibilità dello staff. Comodissima la posizione vicina alla linea della metropolitana: la struttura è moderna e le camere pulite. Molto buona la 1a colazione molto ben assortita. Buona qualità del wi fi","2023-09","16711418","12 Av. Porte D'Italia, 75013 Paris France","Paris","France","75013",,"12 Av. Porte D'Italia",,"16711418","48.81747","Paris, Ile-de-France","2.359588","Ibis Styles Paris Meteor Avenue D'Italie","246","4","9","15","24","70","128","https://www.tripadvisor.com/Hotel_Review-g187147-d16711418-Reviews-Ibis_Styles_Paris_Meteor_Avenue_D_Italie-Paris_Ile_de_France.html","https://all.accor.com/hotel/B2U6/index.en.shtml","Value","5","Location","5","Service","4",,,,,,,"0","2023-09-05","FAMILY"
"910211957","Excellent séjour  hôtel à recommander ","5","Excellent séjour à l'hôtel ibis Styles Paris Meteor.
Très bien situé, bus et métro à 2 mn à pied.
Centre de Paris en 20 mn en métro ( ligne 7 ).
Personnel très sympathique.
Chambre propre, literie confortable.  Thé, café et chocolat chaud à disposition au rez-de-chaussée. Petit déjeuner très correct. Excellent rapport qualité prix. 
A recommander pour un séjour à Paris.
","2023-08","16711418","12 Av. Porte D'Italia, 75013 Paris France","Paris","France","75013",,"12 Av. Porte D'Italia",,"16711418","48.81747","Paris, Ile-de-France","2.359588","Ibis Styles Paris Meteor Avenue D'Italie","246","4","9","15","24","70","128","https://www.tripadvisor.com/Hotel_Review-g187147-d16711418-Reviews-Ibis_Styles_Paris_Meteor_Avenue_D_Italie-Paris_Ile_de_France.html","https://all.accor.com/hotel/B2U6/index.en.shtml",,,,,,,,,,,,,"0","2023-08-14","FAMILY"
"909767770","Preis-Leistung in Ordnung.","3","Es war Ok aber auch nicht mehr. 

Die Zimmer sind soweit modern, relativ geräumig und sauber, die Metro in der Nähe, für den Preis wirklich gut.

Die Reinigungskräfte nehmen Handtücher die zum trocknen hängen gerne mal mit und bringen dafür aber keine neuen, die Bar in der Lobby weigert sich alkoholische Getränke auszuschenken ab 22 Uhr.

Wasser und Kaffee den ganzen Tag gratis.","2023-08","16711418","12 Av. Porte D'Italia, 75013 Paris France","Paris","France","75013",,"12 Av. Porte D'Italia",,"16711418","48.81747","Paris, Ile-de-France","2.359588","Ibis Styles Paris Meteor Avenue D'Italie","246","4","9","15","24","70","128","https://www.tripadvisor.com/Hotel_Review-g187147-d16711418-Reviews-Ibis_Styles_Paris_Meteor_Avenue_D_Italie-Paris_Ile_de_France.html","https://all.accor.com/hotel/B2U6/index.en.shtml",,,,,,,,,,,,,"0","2023-08-12","FRIENDS"
